Code,FPL_Name,Web_Name,Understat_ID,Understat_Name,FPL_ID_2024-25,Team_2024-25,FPL_ID_2023-24,Team_2023-24
58822,Cédric Alves Soares,Cédric,847,Cédric Soares,,,,
153256,Mohamed Elneny,M.Elneny,496,Mohamed Elneny,,,,
438098,Fábio Ferreira Vieira,Fábio Vieira,11007,Fábio Vieira,1,Arsenal,4,Arsenal
226597,Gabriel dos Santos Magalhães,Gabriel,5613,Gabriel,3,Arsenal,5,Arsenal
219847,Kai Havertz,Havertz,5220,Kai Havertz,4,Arsenal,6,Arsenal
156074,Rob Holding,Holding,1749,Rob Holding,202,Crystal Palace,7,Crystal Palace
205651,Gabriel Fernando de Jesus,G.Jesus,5543,Gabriel Jesus,2,Arsenal,8,Arsenal
85955,Jorge Luiz Frello Filho,Jorginho,1389,Jorginho,7,Arsenal,9,Arsenal
440854,Jakub Kiwior,Kiwior,10012,Jakub Kiwior,8,Arsenal,10,Arsenal
479683,Marcus Oliveira Alencar,Marquinhos,11035,Marquinhos,,,,
444145,Gabriel Martinelli Silva,Martinelli,7752,Gabriel Martinelli,9,Arsenal,12,Arsenal
205533,Eddie Nketiah,Nketiah,6482,Eddie Nketiah,11,Arsenal,13,Arsenal
184029,Martin Ødegaard,Ødegaard,2517,Martin Odegaard,13,Arsenal,14,Arsenal
167199,Thomas Partey,Thomas,2328,Thomas Partey,20,Arsenal,15,Arsenal
195735,Nicolas Pépé,Pepe,5656,Nicolas Pepe,,,,
225321,Aaron Ramsdale,Ramsdale,5603,Aaron Ramsdale,14,Arsenal,17,Arsenal
223340,Bukayo Saka,Saka,7322,Bukayo Saka,17,Arsenal,19,Arsenal
462424,William Saliba,Saliba,6888,William Saliba,18,Arsenal,20,Arsenal
437742,Albert Sambi Lokonga,Sambi,9689,Albert Sambi Lokonga,,,,
209289,Emile Smith Rowe,Smith Rowe,7230,Emile Smith-Rowe,19,Fulham,22,Arsenal
437626,Nuno Varela Tavares,Tavares,9691,Nuno Tavares,,,,
192895,Kieran Tierney,Tierney,8089,Kieran Tierney,21,Arsenal,24,Arsenal
223723,Tomiyasu Takehiro,Tomiyasu,7931,Takehiro Tomiyasu,22,Arsenal,25,Arsenal
116216,Leandro Trossard,Trossard,7698,Leandro Trossard,23,Arsenal,26,Arsenal
224068,Matt Turner,Turner,10700,Matt Turner,445,Nott'm Forest,28,Nott'm Forest
198869,Benjamin White,White,7298,Ben White,24,Arsenal,29,Arsenal
84450,Granit Xhaka,Xhaka,204,Granit Xhaka,,,,
206325,Oleksandr Zinchenko,Zinchenko,2958,Oleksandr Zinchenko,25,Arsenal,31,Arsenal
106468,Álex Moreno Lopera,Alex Moreno,4120,Álex Moreno,26,Aston Villa,32,Aston Villa
433979,Cameron Archer,Archer,9912,Cameron Archer,27,Aston Villa,33,Sheffield Utd
215711,Leon Bailey,Bailey,5221,Leon Bailey,28,Aston Villa,34,Aston Villa
195546,Emiliano Buendía Stati,Buendia,2203,Emiliano Buendía,31,Aston Villa,35,Aston Villa
199796,Matty Cash,Cash,8864,Matthew Cash,32,Aston Villa,36,Aston Villa
101184,Calum Chambers,Chambers,508,Calum Chambers,,,,
